109300   2,796
109245   4,055
109242   4,403
109188   4,739
109185   277,562
109175   278,414
109173   279,284
109135   280,938
109110   281,737
109097   282,525
109051   284,064
109018   284,814
109001   286,256
108981   286,944
108977   287,627
108974   288,321
108927   289,642
108888   290,28
108884   290,913
108882   291,546
108837   293,283
108816   293,797
108814   294,32
108762   615,214
108737   615,764
108716   616,301
108696   616,851
108691   617,385
108658   1728,26
108637   1728,939
108623   1729,583
108619   1730,227
108616   1730,895
